,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,
50,0,0.25,0.25,0.25,0,0.25,17.90%,2.20%,1,10.60%,71.30%,61.30%
51,0.25,0.25,0,0,0.25,0.25,16.30%,2.10%,0.83,8.60%,75.00%,63.80%
52,0.25,0,0.25,0,0.25,0.25,15.30%,1.60%,1.03,10.90%,70.00%,60.00%
53,0,0.25,0.25,0,0.25,0.25,16.40%,1.90%,0.93,9.20%,70.00%,62.50%
54,0.25,0,0,0.25,0.25,0.25,12.90%,1.20%,0.89,9.10%,67.50%,52.50%
55,0,0.25,0,0.25,0.25,0.25,14.00%,1.20%,1.01,9.70%,65.00%,56.30%
56,0,0,0.25,0.25,0.25,0.25,13.80%,1.30%,0.97,9.90%,67.50%,53.80%
57,0.2,0.2,0.2,0.2,0.2,0,17.20%,2.00%,1.01,10.20%,71.30%,60.00%
58,0.2,0.2,0.2,0.2,0,0.2,18.10%,2.30%,0.96,10.50%,67.50%,57.50%
59,0.2,0.2,0.2,0,0.2,0.2,17.10%,2.20%,0.94,10.00%,70.00%,63.80%
60,0.2,0.2,0,0.2,0.2,0.2,15.30%,1.80%,0.88,8.70%,72.50%,63.80%
61,0.2,0,0.2,0.2,0.2,0.2,15.60%,1.80%,0.97,10.40%,66.30%,52.50%
62,0,0.2,0.2,0.2,0.2,0.2,16.10%,1.80%,0.98,9.40%,68.80%,66.30%
63,0.167,0.167,0.167,0.167,0.167,0.167,17.30%,2.20%,0.91,9.50%,71.30%,66.30%
64,1,0,0,0,0,0,25.54%,2.08%,0.975575441,8.14%,80.00%,60.00%
65,0,1,0,0,0,0,24.96%,0.40%,1.350801027,7.75%,85.00%,75.00%
66,0,0,1,0,0,0,23.12%,1.35%,1.040006305,8.78%,80.00%,40.00%
67,0,0,0,1,0,0,20.38%,-0.26%,1.291898675,8.86%,70.00%,60.00%
68,0,0,0,0,1,0,16.38%,-0.08%,0.97470562,4.61%,80.00%,45.00%
69,0,0,0,0,0,1,17.35%,-0.72%,1.227074581,8.07%,75.00%,50.00%
70,0.5,0.5,0,0,0,0,29.49%,2.46%,1.060690113,6.49%,90.00%,70.00%
71,0.5,0,0.5,0,0,0,25.59%,1.96%,1.010396834,8.34%,80.00%,50.00%
72,0,0.5,0.5,0,0,0,24.82%,1.24%,1.138027976,7.72%,75.00%,65.00%
73,0.5,0,0,0.5,0,0,22.76%,1.89%,0.850334931,5.98%,85.00%,55.00%
74,0,0.5,0,0.5,0,0,26.13%,0.70%,1.351860421,8.49%,80.00%,70.00%
75,0,0,0.5,0.5,0,0,22.83%,1.71%,0.912782533,7.18%,80.00%,60.00%
76,0.5,0,0,0,0.5,0,24.39%,1.54%,1.015146796,5.73%,85.00%,70.00%
77,0,0.5,0,0,0.5,0,18.45%,-0.74%,1.264588698,6.29%,70.00%,55.00%
78,0,0,0.5,0,0.5,0,21.53%,1.26%,0.934076432,5.72%,85.00%,55.00%
79,0,0,0,0.5,0.5,0,15.96%,-0.97%,1.186506383,6.20%,70.00%,45.00%
80,0.5,0,0,0,0,0.5,23.85%,2.07%,0.878797973,7.27%,90.00%,50.00%
81,0,0.5,0,0,0,0.5,27.56%,0.73%,1.416786913,8.70%,85.00%,80.00%
82,0,0,0.5,0,0,0.5,23.51%,1.47%,1.020052502,8.09%,80.00%,60.00%
83,0,0,0,0.5,0,0.5,18.67%,-0.61%,1.288934605,8.95%,75.00%,55.00%
84,0,0,0,0,0.5,0.5,18.25%,-0.15%,1.100084926,5.48%,70.00%,60.00%
85,0.333,0.333,0.333,0,0,0,29.01%,2.27%,1.091539761,7.13%,80.00%,75.00%
86,0.333,0.333,0,0.333,0,0,24.91%,1.73%,1.007484456,6.63%,80.00%,55.00%
87,0.333,0,0.333,0.333,0,0,23.77%,1.71%,0.960763719,7.19%,85.00%,60.00%
88,0,0.333,0.333,0.333,0,0,25.81%,1.36%,1.160275552,7.77%,80.00%,65.00%
89,0.333,0.333,0,0,0.333,0,22.07%,0.38%,1.179684242,5.96%,75.00%,60.00%
90,0.333,0,0.333,0,0.333,0,25.53%,2.18%,0.924903302,6.27%,80.00%,60.00%
91,0,0.333,0.333,0,0.333,0,21.13%,0.25%,1.165647357,6.28%,70.00%,55.00%
92,0.333,0,0,0.333,0.333,0,18.81%,1.00%,0.844841145,4.77%,80.00%,50.00%
93,0,0.333,0,0.333,0.333,0,20.61%,-0.42%,1.312164113,7.06%,70.00%,55.00%
94,0,0,0.333,0.333,0.333,0,18.94%,1.09%,0.83478866,5.14%,80.00%,55.00%
95,0.333,0.333,0,0,0,0.333,28.35%,2.46%,1.008456897,6.88%,80.00%,65.00%
96,0.333,0,0.333,0,0,0.333,24.73%,1.85%,0.984688012,7.87%,80.00%,55.00%
97,0,0.333,0.333,0,0,0.333,27.56%,1.62%,1.18977821,8.09%,80.00%,60.00%
98,0.333,0,0,0.333,0,0.333,22.04%,1.54%,0.908043903,6.89%,80.00%,65.00%
99,0,0.333,0,0.333,0,0.333,25.45%,0.70%,1.317706331,8.56%,75.00%,75.00%
100,0,0,0.333,0.333,0,0.333,23.98%,1.50%,1.035423441,7.93%,75.00%,60.00%
101,0.333,0,0,0,0.333,0.333,25.08%,2.02%,0.944525368,6.48%,85.00%,60.00%
102,0,0.333,0,0,0.333,0.333,22.41%,-0.08%,1.322436117,7.03%,70.00%,70.00%
103,0,0,0.333,0,0.333,0.333,22.82%,1.58%,0.940287944,6.89%,80.00%,55.00%
104,0,0,0,0.333,0.333,0.333,15.95%,-0.87%,1.177865753,7.36%,65.00%,50.00%
105,0.25,0.25,0.25,0.25,0,0,26.67%,1.89%,1.067782415,7.31%,75.00%,65.00%
106,0.25,0.25,0.25,0,0.25,0,25.00%,1.31%,1.105712056,6.13%,85.00%,65.00%
107,0.25,0.25,0,0.25,0.25,0,20.38%,0.34%,1.099080976,5.81%,70.00%,60.00%
108,0.25,0,0.25,0.25,0.25,0,22.40%,1.87%,0.831234363,5.41%,80.00%,60.00%
109,0,0.25,0.25,0.25,0.25,0,20.79%,0.34%,1.126194056,6.31%,80.00%,70.00%
110,0.25,0.25,0.25,0,0,0.25,28.35%,2.35%,1.045163092,7.59%,80.00%,55.00%
111,0.25,0.25,0,0.25,0,0.25,26.07%,2.17%,0.964960025,6.86%,80.00%,65.00%
112,0.25,0,0.25,0.25,0,0.25,23.69%,1.98%,0.898630752,7.56%,80.00%,65.00%
113,0,0.25,0.25,0.25,0,0.25,27.88%,2.02%,1.10937736,7.96%,85.00%,70.00%
114,0.25,0.25,0,0,0.25,0.25,26.05%,1.76%,1.048478133,5.79%,90.00%,75.00%
115,0.25,0,0.25,0,0.25,0.25,26.10%,2.26%,0.940957638,6.74%,85.00%,65.00%
116,0,0.25,0.25,0,0.25,0.25,24.83%,0.98%,1.191600371,7.08%,80.00%,60.00%
117,0.25,0,0,0.25,0.25,0.25,19.38%,1.39%,0.784163442,5.00%,80.00%,55.00%
118,0,0.25,0,0.25,0.25,0.25,22.37%,0.00%,1.314775803,7.73%,75.00%,70.00%
119,0,0,0.25,0.25,0.25,0.25,20.58%,1.24%,0.899535387,6.50%,80.00%,50.00%
120,0.2,0.2,0.2,0.2,0.2,0,23.24%,1.40%,0.991586188,5.78%,80.00%,65.00%
121,0.2,0.2,0.2,0.2,0,0.2,27.36%,2.59%,0.9339347,7.34%,80.00%,60.00%
122,0.2,0.2,0.2,0,0.2,0.2,27.65%,2.05%,1.069434419,6.60%,80.00%,65.00%
123,0.2,0.2,0,0.2,0.2,0.2,23.07%,1.16%,1.043684198,6.05%,80.00%,70.00%
124,0.2,0,0.2,0.2,0.2,0.2,23.47%,2.29%,0.794886766,6.29%,80.00%,55.00%
125,0,0.2,0.2,0.2,0.2,0.2,24.29%,1.13%,1.125114122,6.77%,80.00%,80.00%
126,0.167,0.167,0.167,0.167,0.167,0.167,24.16%,1.82%,0.941707524,6.07%,80.00%,70.00%
127,1,0,0,0,0,0,7.70%,-1.59%,0.736939118,9.59%,60.00%,30.00%
128,0,1,0,0,0,0,16.75%,-1.74%,1.169840693,10.30%,70.00%,40.00%
129,0,0,1,0,0,0,9.76%,-2.60%,1.049221017,11.13%,55.00%,30.00%
130,0,0,0,1,0,0,20.34%,-1.68%,1.438915867,16.43%,70.00%,40.00%
131,0,0,0,0,1,0,17.85%,-0.89%,1.016982577,7.94%,85.00%,25.00%
132,0,0,0,0,0,1,8.36%,-3.28%,1.108073232,10.67%,55.00%,40.00%
133,0.5,0.5,0,0,0,0,14.39%,-0.18%,0.754226232,9.13%,70.00%,35.00%
134,0.5,0,0.5,0,0,0,8.65%,-2.45%,0.971649448,11.16%,55.00%,30.00%
135,0,0.5,0.5,0,0,0,14.22%,-1.54%,1.021586639,10.09%,60.00%,40.00%
136,0.5,0,0,0.5,0,0,11.22%,-0.53%,0.680928616,8.78%,65.00%,40.00%
137,0,0.5,0,0.5,0,0,22.03%,-0.99%,1.294860056,12.81%,65.00%,40.00%
138,0,0,0.5,0.5,0,0,11.82%,-2.19%,1.054915615,10.72%,65.00%,25.00%
139,0.5,0,0,0,0.5,0,12.10%,-0.71%,0.739862525,8.05%,70.00%,25.00%
140,0,0.5,0,0,0.5,0,18.26%,-1.17%,1.102439249,8.95%,65.00%,45.00%
141,0,0,0.5,0,0.5,0,13.72%,-1.44%,0.964126018,9.05%,65.00%,30.00%
142,0,0,0,0.5,0.5,0,18.55%,-1.47%,1.21266136,11.43%,75.00%,25.00%
143,0.5,0,0,0,0,0.5,7.01%,-1.83%,0.74633,9.37%,55.00%,30.00%
144,0,0.5,0,0,0,0.5,15.30%,-1.47%,1.062628689,10.48%,60.00%,40.00%
145,0,0,0.5,0,0,0.5,8.86%,-2.63%,1.012740704,10.93%,55.00%,30.00%
146,0,0,0,0.5,0,0.5,15.47%,-1.62%,1.181985597,14.43%,60.00%,40.00%
147,0,0,0,0,0.5,0.5,13.27%,-2.04%,1.056644306,8.96%,65.00%,30.00%
148,0.333,0.333,0.333,0,0,0,11.77%,-1.33%,0.878020616,10.22%,60.00%,35.00%
149,0.333,0.333,0,0.333,0,0,16.66%,-0.32%,0.891597204,9.91%,65.00%,35.00%
150,0.333,0,0.333,0.333,0,0,10.90%,-1.32%,0.833827479,9.94%,65.00%,25.00%
151,0,0.333,0.333,0.333,0,0,17.45%,-0.91%,1.049338353,10.59%,65.00%,35.00%
152,0.333,0.333,0,0,0.333,0,13.65%,-0.79%,0.824096842,8.16%,70.00%,35.00%
153,0.333,0,0.333,0,0.333,0,11.75%,-1.67%,0.93617761,9.86%,65.00%,25.00%
154,0,0.333,0.333,0,0.333,0,14.12%,-1.72%,1.037998429,9.31%,65.00%,30.00%
155,0.333,0,0,0.333,0.333,0,12.30%,-0.70%,0.746758539,8.00%,70.00%,30.00%
156,0,0.333,0,0.333,0.333,0,20.28%,-1.30%,1.244838663,11.00%,75.00%,40.00%
157,0,0,0.333,0.333,0.333,0,12.18%,-1.84%,0.973875915,8.96%,60.00%,30.00%
158,0.333,0.333,0,0,0,0.333,12.16%,-0.80%,0.784396339,9.56%,70.00%,35.00%
159,0.333,0,0.333,0,0,0.333,7.10%,-2.55%,0.913372244,10.77%,50.00%,35.00%
160,0,0.333,0.333,0,0,0.333,14.94%,-1.42%,1.041908291,10.69%,60.00%,40.00%
161,0.333,0,0,0.333,0,0.333,11.51%,-0.96%,0.780742222,9.24%,60.00%,35.00%
162,0,0.333,0,0.333,0,0.333,19.47%,-0.81%,1.133422425,11.60%,65.00%,40.00%
163,0,0,0.333,0.333,0,0.333,14.04%,-1.57%,1.038658088,11.00%,60.00%,35.00%
164,0.333,0,0,0,0.333,0.333,9.95%,-1.08%,0.725620036,8.68%,65.00%,30.00%
165,0,0.333,0,0,0.333,0.333,17.67%,-1.54%,1.159665148,9.71%,65.00%,50.00%
166,0,0,0.333,0,0.333,0.333,10.75%,-2.32%,1.023532221,10.26%,60.00%,30.00%
167,0,0,0,0.333,0.333,0.333,19.03%,-1.78%,1.332600048,13.56%,60.00%,35.00%
168,0.25,0.25,0.25,0.25,0,0,13.70%,-1.03%,0.900159241,9.88%,65.00%,30.00%
169,0.25,0.25,0.25,0,0.25,0,12.80%,-1.16%,0.874285704,9.20%,65.00%,35.00%
170,0.25,0.25,0,0.25,0.25,0,17.23%,-0.59%,0.952110264,9.05%,70.00%,35.00%
171,0.25,0,0.25,0.25,0.25,0,10.14%,-1.54%,0.821744322,8.64%,60.00%,25.00%
172,0,0.25,0.25,0.25,0.25,0,17.78%,-1.43%,1.149134885,10.02%,60.00%,40.00%
173,0.25,0.25,0.25,0,0,0.25,11.99%,-1.28%,0.886308615,10.61%,60.00%,35.00%
174,0.25,0.25,0,0.25,0,0.25,16.21%,0.02%,0.801211447,9.42%,65.00%,45.00%
175,0.25,0,0.25,0.25,0,0.25,10.36%,-1.66%,0.885673562,10.58%,50.00%,25.00%
176,0,0.25,0.25,0.25,0,0.25,15.67%,-1.20%,1.032812169,10.67%,65.00%,35.00%
177,0.25,0.25,0,0,0.25,0.25,13.89%,-0.70%,0.836850998,9.44%,75.00%,40.00%
178,0.25,0,0.25,0,0.25,0.25,10.03%,-1.96%,0.9197821,10.15%,65.00%,35.00%
179,0,0.25,0.25,0,0.25,0.25,14.98%,-1.36%,1.014202854,9.70%,65.00%,45.00%
180,0.25,0,0,0.25,0.25,0.25,13.06%,-0.79%,0.804670862,8.54%,65.00%,20.00%
181,0,0.25,0,0.25,0.25,0.25,21.92%,-0.51%,1.163657777,11.04%,65.00%,40.00%
182,0,0,0.25,0.25,0.25,0.25,12.48%,-1.66%,0.962747538,9.55%,65.00%,35.00%
183,0.2,0.2,0.2,0.2,0.2,0,13.87%,-1.06%,0.902265557,9.29%,70.00%,30.00%
184,0.2,0.2,0.2,0.2,0,0.2,14.11%,-0.90%,0.895338519,10.04%,60.00%,30.00%
185,0.2,0.2,0.2,0,0.2,0.2,11.64%,-1.55%,0.912706224,10.11%,70.00%,40.00%
186,0.2,0.2,0,0.2,0.2,0.2,16.06%,-0.72%,0.930771321,9.20%,70.00%,40.00%
187,0.2,0,0.2,0.2,0.2,0.2,11.47%,-1.31%,0.853121554,9.71%,55.00%,30.00%
188,0,0.2,0.2,0.2,0.2,0.2,17.03%,-1.30%,1.096426076,10.05%,65.00%,30.00%
189,0.167,0.167,0.167,0.167,0.167,0.167,13.73%,-1.11%,0.910100801,9.50%,70.00%,35.00%
190,1,0,0,0,0,0,22.18%,6.29%,1.580440404,16.44%,65.00%,80.00%
191,0,1,0,0,0,0,14.24%,3.99%,1.207561149,12.08%,55.00%,80.00%
192,0,0,1,0,0,0,29.57%,7.62%,1.31686207,14.78%,65.00%,85.00%
193,0,0,0,1,0,0,0.21%,1.25%,1.43796368,15.97%,50.00%,55.00%
194,0,0,0,0,1,0,3.05%,1.23%,1.109287342,10.45%,60.00%,75.00%
195,0,0,0,0,0,1,8.83%,3.14%,1.47953853,15.19%,55.00%,65.00%
196,0.5,0.5,0,0,0,0,29.75%,7.16%,0.902055261,10.25%,80.00%,85.00%
197,0.5,0,0.5,0,0,0,26.86%,7.14%,1.368879796,15.28%,65.00%,75.00%
198,0,0.5,0.5,0,0,0,28.23%,6.96%,1.049271384,11.51%,80.00%,85.00%
199,0.5,0,0,0.5,0,0,20.03%,5.33%,1.108715491,12.28%,75.00%,70.00%
200,0,0.5,0,0.5,0,0,11.94%,3.40%,1.058055685,11.20%,60.00%,80.00%
201,0,0,0.5,0.5,0,0,24.25%,6.39%,1.189589303,13.51%,70.00%,85.00%
202,0.5,0,0,0,0.5,0,18.15%,4.92%,1.218340366,12.35%,70.00%,85.00%
203,0,0.5,0,0,0.5,0,8.65%,2.42%,0.916896279,8.74%,60.00%,90.00%
204,0,0,0.5,0,0.5,0,19.54%,5.09%,1.028517198,10.98%,75.00%,90.00%
205,0,0,0,0.5,0.5,0,-0.72%,0.49%,1.14195656,11.95%,55.00%,70.00%
206,0.5,0,0,0,0,0.5,20.64%,5.71%,1.364708915,14.57%,65.00%,75.00%
207,0,0.5,0,0,0,0.5,20.03%,5.27%,1.104658954,12.00%,65.00%,80.00%
208,0,0,0.5,0,0,0.5,22.92%,6.23%,1.286115366,14.60%,65.00%,70.00%
209,0,0,0,0.5,0,0.5,7.15%,2.66%,1.274209975,14.37%,55.00%,50.00%
210,0,0,0,0,0.5,0.5,5.61%,2.07%,1.311969998,12.64%,60.00%,65.00%
211,0.333,0.333,0.333,0,0,0,30.01%,7.40%,1.067217706,12.06%,85.00%,85.00%
212,0.333,0.333,0,0.333,0,0,26.16%,6.37%,0.862257182,9.71%,85.00%,90.00%
213,0.333,0,0.333,0.333,0,0,25.29%,6.52%,1.146211409,12.87%,75.00%,70.00%
214,0,0.333,0.333,0.333,0,0,23.14%,5.88%,1.025226941,11.28%,80.00%,80.00%
215,0.333,0.333,0,0,0.333,0,19.41%,4.90%,0.865789537,9.29%,80.00%,85.00%
216,0.333,0,0.333,0,0.333,0,24.11%,6.29%,1.222054614,13.07%,70.00%,90.00%
217,0,0.333,0.333,0,0.333,0,19.00%,4.81%,0.889621834,9.33%,80.00%,90.00%
218,0.333,0,0,0.333,0.333,0,15.17%,4.05%,1.026235925,10.34%,65.00%,80.00%
219,0,0.333,0,0.333,0.333,0,5.69%,1.78%,0.950059735,9.44%,60.00%,80.00%
220,0,0,0.333,0.333,0.333,0,16.55%,4.39%,1.032675454,10.64%,70.00%,90.00%
221,0.333,0.333,0,0,0,0.333,27.94%,6.82%,0.894291582,10.60%,80.00%,80.00%
222,0.333,0,0.333,0,0,0.333,24.29%,6.52%,1.312975627,14.66%,65.00%,70.00%
223,0,0.333,0.333,0,0,0.333,28.80%,7.18%,1.097912372,12.45%,75.00%,80.00%
224,0.333,0,0,0.333,0,0.333,15.93%,4.39%,1.048151405,11.92%,70.00%,65.00%
225,0,0.333,0,0.333,0,0.333,16.64%,4.43%,0.961474065,10.97%,65.00%,75.00%
226,0,0,0.333,0.333,0,0.333,21.28%,5.78%,1.201182703,13.78%,70.00%,70.00%
227,0.333,0,0,0,0.333,0.333,19.84%,5.50%,1.379686261,14.15%,70.00%,80.00%
228,0,0.333,0,0,0.333,0.333,13.61%,3.63%,0.990142127,9.71%,55.00%,85.00%
229,0,0,0.333,0,0.333,0.333,22.65%,5.96%,1.183996182,12.94%,70.00%,75.00%
230,0,0,0,0.333,0.333,0.333,1.16%,1.20%,1.30918773,14.06%,50.00%,50.00%
231,0.25,0.25,0.25,0.25,0,0,27.50%,6.84%,1.028028719,11.64%,85.00%,85.00%
232,0.25,0.25,0.25,0,0.25,0,25.62%,6.39%,1.028468687,11.08%,80.00%,90.00%
233,0.25,0.25,0,0.25,0.25,0,16.35%,4.21%,0.887199273,9.12%,75.00%,85.00%
234,0.25,0,0.25,0.25,0.25,0,23.07%,5.92%,1.081466774,11.58%,70.00%,85.00%
235,0,0.25,0.25,0.25,0.25,0,16.12%,4.18%,0.915069482,9.40%,70.00%,85.00%
236,0.25,0.25,0.25,0,0,0.25,28.09%,7.06%,1.08141567,12.64%,75.00%,85.00%
237,0.25,0.25,0,0.25,0,0.25,23.88%,5.95%,0.885613987,10.41%,70.00%,85.00%
238,0.25,0,0.25,0.25,0,0.25,24.33%,6.42%,1.175134061,13.79%,70.00%,65.00%
239,0,0.25,0.25,0.25,0,0.25,24.13%,6.21%,1.08849983,12.40%,75.00%,80.00%
240,0.25,0.25,0,0,0.25,0.25,24.44%,6.03%,0.90855888,9.91%,80.00%,85.00%
241,0.25,0,0.25,0,0.25,0.25,24.92%,6.56%,1.301454076,14.00%,70.00%,80.00%
242,0,0.25,0.25,0,0.25,0.25,23.17%,5.84%,1.013683709,10.81%,80.00%,80.00%
243,0.25,0,0,0.25,0.25,0.25,16.67%,4.54%,1.068510094,11.76%,70.00%,70.00%
244,0,0.25,0,0.25,0.25,0.25,10.98%,3.10%,1.013628531,10.42%,55.00%,75.00%
245,0,0,0.25,0.25,0.25,0.25,19.19%,5.17%,1.133501548,12.41%,65.00%,75.00%
246,0.2,0.2,0.2,0.2,0.2,0,24.23%,6.03%,0.975507153,10.42%,80.00%,85.00%
247,0.2,0.2,0.2,0.2,0,0.2,26.76%,6.74%,1.019172581,12.09%,75.00%,85.00%
248,0.2,0.2,0.2,0,0.2,0.2,27.64%,6.91%,1.080582883,12.03%,75.00%,85.00%
249,0.2,0.2,0,0.2,0.2,0.2,19.50%,4.96%,0.908428926,9.80%,80.00%,85.00%
250,0.2,0,0.2,0.2,0.2,0.2,24.20%,6.28%,1.149729879,12.73%,75.00%,75.00%
251,0,0.2,0.2,0.2,0.2,0.2,20.01%,5.13%,0.997655949,10.54%,70.00%,90.00%
252,0.167,0.167,0.167,0.167,0.167,0.167,26.69%,6.63%,0.998147585,11.20%,80.00%,85.00%
253,1,0,0,0,0,0,1.95%,1.34%,1.902607858,21.86%,60.00%,40.00%
254,0,1,0,0,0,0,2.38%,0.64%,1.26328667,12.87%,55.00%,65.00%
255,0,0,1,0,0,0,8.03%,2.65%,1.894339115,20.83%,55.00%,50.00%
256,0,0,0,1,0,0,-0.67%,0.07%,1.425453672,15.55%,55.00%,35.00%
257,0,0,0,0,1,0,2.20%,0.44%,1.094578724,10.67%,65.00%,70.00%
258,0,0,0,0,0,1,-5.34%,-1.49%,0.859994814,8.89%,40.00%,30.00%
259,0.5,0.5,0,0,0,0,6.19%,1.63%,1.392192441,14.41%,55.00%,65.00%
260,0.5,0,0.5,0,0,0,6.17%,2.34%,1.939118385,21.82%,60.00%,50.00%
261,0,0.5,0.5,0,0,0,7.82%,1.97%,1.354461574,13.77%,55.00%,70.00%
262,0.5,0,0,0.5,0,0,6.85%,1.90%,1.524957345,16.28%,55.00%,40.00%
263,0,0.5,0,0.5,0,0,4.73%,1.23%,1.247375502,13.18%,65.00%,65.00%
264,0,0,0.5,0.5,0,0,9.84%,2.64%,1.591408676,16.61%,60.00%,55.00%
265,0.5,0,0,0,0.5,0,2.56%,0.74%,1.420759482,14.60%,55.00%,50.00%
266,0,0.5,0,0,0.5,0,4.60%,1.07%,1.091537185,10.99%,65.00%,75.00%
267,0,0,0.5,0,0.5,0,4.17%,1.10%,1.419546406,14.24%,55.00%,50.00%
268,0,0,0,0.5,0.5,0,3.57%,0.95%,1.203244498,12.94%,65.00%,60.00%
269,0.5,0,0,0,0,0.5,-2.34%,-0.62%,0.977324784,10.69%,65.00%,45.00%
270,0,0.5,0,0,0,0.5,0.62%,0.02%,0.86412172,8.73%,60.00%,50.00%
271,0,0,0.5,0,0,0.5,1.53%,0.33%,1.066938445,10.90%,55.00%,60.00%
272,0,0,0,0.5,0,0.5,0.11%,-0.06%,1.007703752,10.34%,55.00%,50.00%
273,0,0,0,0,0.5,0.5,1.00%,0.07%,0.800792483,7.88%,55.00%,45.00%
